;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Número do testemunho;Profundidade do plugue (m);Orientação do plugue (H ou V);Identificador da caixa;Total de caixas;Data de conclusão do poço;Município/Estado;Depositária
RECÔNCAVO;202400329900;7-AG-297-BA;1;225;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;1;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;2;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;3;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;4;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;5;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;6;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;7;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;8;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;9;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;10;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;11;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;12;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;13;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;14;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;15;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;16;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;17;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;18;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;19;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;20;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;21;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;22;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;23;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;24;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400329900;7-AG-297-BA;1;25;-;1;1;18/10/1979;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;1184;H;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;-;H;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;-;V;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;-;H;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;-;H;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;1262;H;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;1271;H;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;-;-;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400448300;7-AG-331A-BA;1;-;-;1;1;22/02/1986;RIO DE JANEIRO/RJ;3R
RECÔNCAVO;202400217700;7-AG-212-BA;1;-;-;1;1;01/01/1968;RIO DE JANEIRO/RJ;3R
