Todas as Informações aqui contidas são relativas ao 5 dia util de outubro de 2023. Após essa data podem ter ocorrido mudanças e deslocamentos.;;;;;;;;;;;
DAA 2023 - Amostras de Fluidos;;;;;;;;;;;
Bacia sedimentar;Código do poço (API);Nome do poço (ANP);Tipo de fluido;Profundidade topo (m);Profundidade base (m);Quantidade de amostra;Tipo de container;Volume (L);Data de conclusão do poço;Município/Estado;Depositária
POTIGUAR TERRA;721000711500;1-BRSA-521-RN;ÓLEO;1.707,50;1.781,50;2;Garrafa Vidro Âmbar;1;22/03/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000711500;1-BRSA-521-RN;ÓLEO;1.733,00;1.735,00;1;Garrafa Vidro Âmbar;1;22/03/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000711500;1-BRSA-521-RN;ÓLEO;1.805,00;1.808,00;2;Garrafa Vidro Âmbar;1;22/03/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000726500;1-BRSA-558-RN;ÓLEO;1.543,50;1.546,00;2;Garrafa Vidro Âmbar;1;30/12/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000726500;1-BRSA-558-RN;ÓLEO;1.621,00;1.625,00;2;Garrafa Vidro Âmbar;1;30/12/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000731200;1-BRSA-628-RN;ÓLEO;1.514,00;1.517,00;2;Garrafa Vidro Âmbar;1;21/10/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000731200;1-BRSA-628-RN;ÓLEO;1.594,50;1.596,50;2;Garrafa Vidro Âmbar;1;21/10/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000731200;1-BRSA-628-RN;ÓLEO;1.799,00;1.802,00;2;Garrafa Vidro Âmbar;1;21/10/2008;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000755300;1-BRSA-675-RN;ÓLEO;1.373,50;1.375,50;2;Garrafa Vidro Âmbar;1;11/04/2009;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000844200;1-BRSA-1025-RN;ÓLEO;990,00;1.019,50;2;Garrafa Vidro Âmbar;1;28/03/2012;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000844200;1-BRSA-1025-RN;ÓLEO;1.073,50;1.085,00;2;Garrafa Vidro Âmbar;1;28/03/2012;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000845200;1-BRSA-1034-RN;ÓLEO;1.441,00;1.443,00;2;Garrafa Vidro Âmbar;1;30/04/2012;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000845200;1-BRSA-1034-RN;ÓLEO;1.510,00;1.513,00;2;Garrafa Vidro Âmbar;1;30/04/2012;CATU/BA;PETROBRAS
POTIGUAR TERRA;721000846000;1-BRSA-1044-RN;ÓLEO;1.802,00;1.809,00;2;Garrafa Vidro Âmbar;1;24/03/2012;CATU/BA;PETROBRAS
RECÔNCAVO TERRA;202400658000;1-BRSA-888D-BA;ÁGUA;1.874,80;1.874,80;2;Garrafa Vidro Âmbar;1;09/09/2012;CATU/BA;PETROBRAS
SANTOS;743160018900;1-BRSA-905-RJS;ÓLEO;4.025,00;4.060,00;1;Garrafa Vidro Âmbar;1;23/08/2011;CATU/BA;PETROBRAS
SANTOS;743160021500;1-BRSA-925A-RJS;ÓLEO;5.676,30;5.714,30;4;Garrafa Vidro Âmbar;1;24/05/2012;CATU/BA;PETROBRAS
SANTOS;743160022400;1-BRSA-976-RJS;ÓLEO;5.104,30;5.134,30;2;Garrafa Vidro Âmbar;1;13/04/2012;CATU/BA;PETROBRAS
SANTOS;743160027600;1-BRSA-1116-RJS;ÓLEO;5.370,00;5.505,00;2;Garrafa Vidro Âmbar;1;28/05/2013;CATU/BA;PETROBRAS
SANTOS;743160028500;1-BRSA-1146-RJS;ÓLEO;5.053,00;5.125,00;2;Garrafa Vidro Âmbar;1;20/05/2013;CATU/BA;PETROBRAS
SANTOS;743160028500;1-BRSA-1146-RJS;ÓLEO;5.170,00;5.270,00;2;Garrafa Vidro Âmbar;1;20/05/2013;CATU/BA;PETROBRAS
SANTOS;743160260200;1-BRSA-103-RJS;ÓLEO;5.301,00;5.311,00;2;Garrafa Vidro Âmbar;1;07/12/2001;CATU/BA;PETROBRAS
